編號,店名,聯絡人,連絡電話,地址
1,溪友緣風味料理店,江衍志老闆,03-3877769,桃園市大溪區仁愛路9號
2,伍角?小吃,梁朝登老闆,03-4519477,桃園市中壢區中山東路一段42號
3,美鵑園餐廳,王淑美老闆娘,03-4525262,桃園市中壢區吉林二路77號
4,千暉鵝肉店,張美秀老闆,03-4937090,桃園市中壢區志廣路65號
5,饌園餐館,游兆坊老闆,03-4332000,桃園市中壢區普義路186號
6,品傑首烏御膳館,黃美華老闆娘,03-4622799,桃園市中壢區環北路435號
7,釀香居懷舊餐廳,姜寶雲老闆,03-4608088,桃園市平鎮區平東路25號
8,酒廠復古小館,周宗賢老闆,03-4029569,桃園市平鎮區延平路二段79號
9,善園客家小館,王興凱老闆,03-4683392,桃園市平鎮區環南路三段315號
10,秋石坊庭園餐廳,郭承?老闆,03-4864565,桃園市新屋區文化路三段22號
11,亨味食堂,范德忠老闆,03-4111000,桃園市龍潭區大平村民治十六街87巷25號
12,祥和園活魚餐廳,古紹志老闆,03-4713279,桃園市龍潭區中正路三坑段779號
13,知味囍宴餐廳,李俊茂副總,03-4995966,桃園市龍潭區五福街262巷67之2號
14,提緣客家小館,黃鳳蘭老闆娘,03-4796088,桃園市龍潭區龍新新村54號
15,林記客家小吃,林遠熊老闆,0988-192457,桃園市復興區中正路100號
16,??蔬食創意料理,梁經理,03-4995865,桃園市龍潭區金龍路8巷22號
17,微笑元素蔬食咖啡,邱文娟老闆娘,03-4353399,桃園市中壢區南園二路388號
18,市集巷弄簡餐坊,周清萍老闆娘,03-4806915,桃園市龍潭區大同路327號
19,中平素食之家,黃勝輝老闆,03-4284290,桃園市中壢區新興路210號
20,大江屋復古餐廳,江增偉 老闆,03-4794547,325桃園市龍潭區三水村大北坑6鄰28號 
21,知味喜宴,李俊茂 副總,03-4995966 ,325桃園市龍潭區五福街262巷67-2號
22,石園活魚餐廳,李淑英店長,03-4711777,325桃園市龍潭區佳安村文化路57-2號
23,柚子花花青春客家菜,林昌賢特助 ,03-3172666,330桃園市桃園區莊敬里中正路1268巷1號1樓
24,磊園活魚餐廳,陳甄珍 副總,03-4712307,325桃園市龍潭區三坑村中正路三坑段711號
25,大楊梅鵝莊,彭及星 經理,03-4806330,325桃園市龍潭區上林村神龍路96巷2號1樓
26,錦家御宴,廖春蘭 經理,03-4272997,320桃園市中壢區中央里中山路88號
27,茂園和漢美食館,徐上喻 經理,03-495-1375,324桃園市平鎮區延平路二段371號
28,友福花園農莊,廖呂維 先生,03-4862567,327桃園市新屋區中山西路二段602號
29,甜甜小廚,宋惠蓉 老闆,03-3336456,330桃園市桃園區三民路二段67號
30,心蘭活魚餐廳,林振輝 老闆,03-4713992,325桃園市龍潭區佳安村11份16-3號
31,大中壢鵝莊,王燕惠 里長,03-4922287 ,324桃園市平鎮區民族路二段133號
32,善園,王興凱 老闆,03-4683392,324桃園市平鎮區環南路三段315號
33,東森山林渡假酒店,于雅玲協理,03-4751100,326桃園市楊梅區永寧里東森路3號
34,田莊飲食店,田俊麒 老闆,03-4731409,328桃園市觀音區成功路2段1247號
35,采莊庭園餐廳,徐翠英 老闆,03-4112466,325桃園市龍潭區三坑村永福路136-1號
36,輕鬆餐館,張秀鳳 店長,03-4024289,320桃園市中壢區中央西路2段195號1樓
37,滿滿客家菜館,廖宇婕 小姐,03-4272518,320桃園市中壢區中豐路185號
38,福記全家福客家菜館,許浩銘經理,03-4945228,320桃園市中壢區環西路67號
39,享宴中餐廳,李婭平 副理,03-280-5510,320桃園市中壢區新生路182號10F
40,搶搶滾小吃店,徐炫均 先生,03-4553736,320桃園市中壢區新中北路378號
41,土埆厝復古小館,溫小姐,03-460-3798,324桃園市平鎮區東光路7號
42,綠野鄉村活魚餐廳,簡妙霖 老闆,03-4714828 ,325桃園市龍潭區佳安村文化路431-1號
43,老頭擺客家菜,邱季涵 老闆,03-4711359,325桃園市龍潭區中正路三坑段546號
44,紅燈籠農家菜館,戴春蘭 老闆,03-4711880,325桃園市龍潭區中正路三坑段608號
45,桂竹屋餐廳,劉瑞達 老闆,03-4792026,325桃園市龍潭區中正村大同路99號
46,老地方客家菜,張峴(ㄒ一ㄢˋ)維 老闆,03-3906863,335桃園市大溪區員林路一段489號
47,紅?客家小館,李淑善 老闆,03-4713947,325桃園市龍潭區中正路三坑村三坑段688號
48,新龍泉花園餐廳,俞宥彤執行長,03-4711968,325桃園市龍潭區三坑村中正路三坑段768巷32號
49,阿海飲食店,蕭詩誠 老闆,03-4592943,320桃園市中壢區新興路268號
50,鄉親鵝肉店,杜麗貞 老闆 ,03-4917351,324桃園市平鎮區民族路235號
51,阿蘭姐三代老店,張秀蘭 老闆,03-4783266,326桃園市楊梅區大成路23號
52,金欣鵝肉亭,葉煥友 老闆,0936-270446,320桃園市中壢區龍岡路一段170號
53,碧園餐館,曹碧嵐 老闆,03-4227758,320桃園市中壢區中台路10號
54,欣園餐館,彭聖源 老闆,03-4220258,320桃園市中壢區中美路二段142號
55,桃園金讚鵝肉店,蔡金英 老闆,03-3338071,330桃園市桃園區中山東路32之20號
56,綠園餐廳,林瑋 副理,03-4644131#116,326桃園市楊梅區高榮里13鄰3之1號
57,松葉園,梁碧琴小姐,03-4090911,325桃園市龍潭區龍新路三和段1008號
58,信宏鵝肉,張老闆娘,03-4772226 ,327桃園市新屋區中山路404號
59,皇帝嶺會館,楊秋聲 總經理,03-4163676,320桃園市中壢區環中東路776號
60,大溪鵝莊,徐慧容 老闆,03-3871918,335桃園市大溪區復興路34號
61,大溪紅樓,鄭易德 老闆,03-3871088,335桃園市大溪區復興路152號
62,傳香客家餐館,劉世洪 先生,03-3870566,335桃園市大溪區復興路一段841號
63,萬芳鵝肉城,黃湘涵 店長,03-4931287,320桃園市中壢區志廣路53號
64,稻香庭園客家菜館,詹文燿 老闆,03-4356369,320桃園市中壢市福州二街399號
65,上讚美食,鄒欣菊 老闆,03-4160776,328桃園市觀音區樹林村福壽街201號
66,新創客家美食,官惠真 老闆,03-4904192,327桃園市新屋區頭洲村民族路6段155號
67,紅磚懷舊餐廳,吳睿豐 老闆,03-3325892,330桃園市桃園區三民路三段423號
68,桐花客家私房料理,陳世覺 經理,03-3176866,330桃園市桃園區大興西路一段333號
69,福記富貴餐廳,羅秀琴 老闆,03-4785885,326桃園市楊梅區新農街205號
70,大順客家美食喜宴廣場,古重良老闆,03-4855766,326桃園市楊梅區環東路50號
71,新轉角手作料理,張俯朧 老闆,03-4253177,330桃園市中壢區大享路69之2號
72,廣東陶芳餐廳,黃清乾 老闆,03-3800115,335桃園市大溪區崎頂介壽路770號
73,山水緣餐廳,江春蓮 老闆,03-4890956,325桃園市龍潭區三水村6鄰28-2號
